unixtime	low	high	open	close	volume	intervallStart_datetime	EMA_12	EMA_26	MACD	Signal_Line	Histogram	Histogram_Delta_Percentage	Histogram_Extrems	MFI
1512831600	13116.5	13162.07	13162.0	13116.6	12.600409659999961	2017-12-09 16:00:00	13221.0050068	13280.2153537	-59.2103468975	-51.0459254703	-8.16442142723	-0.893407029817		46.97335553749087
1512832500	12820.66	13116.6	13116.6	12838.94	19.33870595999998	2017-12-09 16:15:00	13162.225775	13247.5282904	-85.3025154738	-57.897243471	-27.4052720028	-2.35667043245		39.38800563160475
1512833400	12755.22	13010.5	12838.92	12860.0	32.259974910000025	2017-12-09 16:30:00	13115.7295019	13218.8224911	-103.092989253	-66.9363926274	-36.1565966258	-0.319329967683		29.594938636134856
1512834300	12750.0	12880.0	12834.21	12773.96	19.96408086999999	2017-12-09 16:45:00	13063.1495785	13185.869714	-122.720135499	-78.0931412018	-44.6269942974	-0.234269772658		20.859492176933713
1512835200	12662.02	12914.69	12772.59	12662.03	23.143530220000066	2017-12-09 17:00:00	13001.4388741	13147.0667722	-145.627898108	-91.600092583	-54.0278055249	-0.210653022357		20.65965838720409
1512836100	12500.0	12695.91	12669.87	12551.12	37.33761630000002	2017-12-09 17:15:00	12932.1590473	13102.9225669	-170.763519546	-107.432777976	-63.3307415708	-0.172187930928		20.022281060654336
1512837000	12200.0	12553.52	12553.52	12365.73	39.122239080000035	2017-12-09 17:30:00	12845.016117	13048.3157101	-203.2995931	-126.606141001	-76.6934520998	-0.21099880086		11.216744159382074
1512837900	12131.44	12375.0	12375.0	12209.91	38.69615874000005	2017-12-09 17:45:00	12747.3074836	12986.2115834	-238.90409981	-149.065732762	-89.8383670472	-0.171395531007		5.33180434625443
1512838800	11721.7	12209.95	12135.0	11949.99	75.54460874000003	2017-12-09 18:00:00	12624.6432554	12909.4544291	-284.811173729	-176.214820956	-108.596352773	-0.208797046772		4.938597003227102
1512839700	11555.0	11998.99	11950.0	11966.0	54.47276486000001	2017-12-09 18:15:00	12523.3135238	12839.5689158	-316.255392057	-204.222935176	-112.032456881	-0.0316410636234		4.171477292676826
