	unixtime	low	high	open	close	volume	intervallStart_datetime
5133	1514396100	13279.0	13425.0	13279.01	13399.71	11.892420189999982	2017-12-27 18:35:00
5134	1514396400	13270.24	13399.71	13399.7	13281.44	10.588737629999986	2017-12-27 18:40:00
5135	1514396700	13188.64	13283.93	13277.01	13283.93	9.993340489999984	2017-12-27 18:45:00
5136	1514397000	13283.93	13399.95	13283.93	13298.3	5.573530899999991	2017-12-27 18:50:00
5137	1514397300	13297.5	13317.87	13298.3	13303.4	10.655480319999983	2017-12-27 18:55:00
5138	1514397600	13212.21	13300.01	13300.01	13289.31	12.751081059999986	2017-12-27 19:00:00
5139	1514397900	13289.31	13319.95	13289.31	13319.95	15.84699107999999	2017-12-27 19:05:00
5140	1514398200	13319.95	13429.0	13319.95	13396.93	10.75799613999998	2017-12-27 19:10:00
5141	1514398500	13340.0	13399.01	13396.4	13355.52	10.389127449999986	2017-12-27 19:15:00
5142	1514398800	13355.5	13420.0	13355.52	13411.94	8.553156569999993	2017-12-27 19:20:00
5143	1514399100	13232.0	13411.95	13411.95	13284.61	9.345902089999989	2017-12-27 19:25:00
5144	1514399400	13212.98	13284.61	13284.61	13212.99	5.3241123599999955	2017-12-27 19:30:00
5145	1514399700	13100.0	13243.35	13212.99	13227.99	17.113953839999986	2017-12-27 19:35:00
5146	1514400000	13227.04	13290.6	13227.98	13288.91	5.405019839999996	2017-12-27 19:40:00
5147	1514400300	13200.0	13290.6	13290.12	13216.52	5.335182889999994	2017-12-27 19:45:00
5148	1514400600	13216.51	13216.52	13216.52	13216.52	6.482313509999991	2017-12-27 19:50:00
5149	1514400900	13199.1	13250.0	13216.52	13247.69	11.274506649999987	2017-12-27 19:55:00
5150	1514401200	13247.68	13300.0	13247.69	13300.0	9.249164959999987	2017-12-27 20:00:00
5151	1514401500	13250.0	13347.0	13288.66	13250.01	5.987002989999994	2017-12-27 20:05:00
5152	1514401800	13250.0	13346.99	13250.0	13346.97	18.046543820000007	2017-12-27 20:10:00
5153	1514402100	13250.0	13346.99	13346.97	13250.01	7.93037419999999	2017-12-27 20:15:00
