unixtime;low;high;open;close;volume;intervallStart_datetime;typical_price;macd;macd_delta_absolute;macd_delta_percentage;mfi;mfi_delta_absolute;mfi_delta_percentage;trend_1_intervall;trend_2_intervall;trend_3_intervall;Signal;
1514214900;12260,38;12499;12260,39;12300,95;12,41392638;25.12.2017 16:15;12353,44333;-130,5580582;-10,03567075;-0,083268104;32,37093907;-2,461752888;-0,070673633;UP;UP;UP;0;
1514215800;12300,95;12438,88;12300,95;12436,29;9,65749237;25.12.2017 16:30;12392,04;-127,9225868;2,635471453;0,020186203;30,00988696;-2,361052109;-0,072937399;UP;UP;UP;0;
1514216700;12373,77;12501,03;12436,29;12383,82;11,41165002;25.12.2017 16:45;12419,54;-131,163268;-3,240681191;-0,025333143;29,42749509;-0,582391871;-0,019406667;UP;UP;UP;0;
1514217600;12357,46;12498;12380,85;12495,8;11,77878392;25.12.2017 17:00;12450,42;-116,9892103;14,17405765;0,108064231;27,92595049;-1,501544603;-0,051025227;UP;UP;DOWN;0;
1514218500;12495,8;12600;12495,8;12599,99;9,671857;25.12.2017 17:15;12565,26333;-95,90135532;21,087855;0,1802547;25,60638539;-2,319565101;-0,083061277;DOWN;DOWN;DOWN;0;
1514219400;12400;12599,99;12599,99;12400,01;11,38086654;25.12.2017 17:30;12466,66667;-92,69077067;3,210584648;0,03347799;26,9747314;1,368346005;0,053437687;DOWN;UP;UP;0;
1514220300;12330;12480,59;12400,01;12450,36;9,35690874;25.12.2017 17:45;12420,31667;-78,92194948;13,76882119;0,148545762;27,84746479;0,872733394;0,032353738;UP;UP;UP;0;
1514221200;12450,36;12523,81;12450,36;12500;7,72339633;25.12.2017 18:00;12491,39;-62,58420281;16,33774667;0,207011443;34,36283575;6,515370957;0,233966395;UP;DOWN;DOWN;0;
1514222100;12500;12580;12500;12530;19,8931027;25.12.2017 18:15;12536,66667;-43,86310996;18,72109285;0,299134478;39,87611882;5,513283074;0,160443193;DOWN;DOWN;DOWN;0;
1514223000;12400;12530,01;12530;12400;12,05603079;25.12.2017 18:30;12443,33667;-38,03151396;5,831596006;0,132949898;39,89148105;0,01536223;0,000385249;DOWN;UP;DOWN;0;
1514223900;12364;12486,85;12400,01;12392,22;22,67932708;25.12.2017 18:45;12414,35667;-32,49347838;5,538035574;0,145617016;40,74075746;0,849276407;0,021289668;UP;UP;UP;0;
1514224800;12389,87;12480;12392,09;12470,12;9,11636341;25.12.2017 19:00;12446,66333;-19,02243739;13,47104099;0,41457676;52,14757999;11,40682253;0,279985529;DOWN;UP;UP;0;
1514225700;12399,11;12470,05;12470,02;12421,88;13,16138387;25.12.2017 19:15;12430,34667;-12,98231935;6,040118041;0,317525978;55,44764313;3,300063136;0,06328315;UP;UP;UP;0;
1514226600;12421,87;12555,7;12421,88;12555,69;7,33949323;25.12.2017 19:30;12511,08667;2,26844807;15,25076742;1,174733652;64,1758205;8,728177374;0,157412955;DOWN;DOWN;DOWN;2;1
1514227500;12435,08;12590,01;12555,7;12446,5;9,54787228;25.12.2017 19:45;12490,53;6,858367307;4,589919237;2,023374173;58,41098302;-5,764837477;-0,089828808;DOWN;DOWN;DOWN;0;
1514228400;12410;12500;12446,5;12500;5,81144588;25.12.2017 20:00;12470;14,57757999;7,719212681;1,125517537;51,91215013;-6,498832889;-0,111260461;UP;DOWN;UP;0;
1514229300;12450;12499;12463,95;12498,99;8,59175299;25.12.2017 20:15;12482,66333;19,65139218;5,073812189;0,348055863;50,7805308;-1,131619331;-0,021798737;DOWN;DOWN;DOWN;0;
1514230200;12433,88;12512;12498,99;12437,91;8,05869198;25.12.2017 20:30;12461,26333;19,84347762;0,192085446;0,009774648;44,48007783;-6,300452979;-0,124072216;UP;DOWN;DOWN;0;
1514231100;12429,97;12494,23;12441,97;12488,96;7,15320606;25.12.2017 20:45;12471,05333;23,37949417;3,536016543;0,178195406;43,14699798;-1,333079846;-0,029970268;DOWN;DOWN;DOWN;0;
1514232000;12410;12488,96;12488,96;12410,01;6,50935809;25.12.2017 21:00;12436,32333;16,64766293;-6,731831232;-0,28793742;43,88368538;0,736687398;0,017073897;UP;DOWN;DOWN;0;
1514232900;12409;12474;12410,01;12452,01;7,23541363;25.12.2017 21:15;12445,00333;11,78689172;-4,860771213;-0,291979194;49,7616533;5,877967919;0,133944264;DOWN;DOWN;DOWN;0;
1514233800;12410,91;12452,2;12452,01;12410,92;6,04351959;25.12.2017 21:30;12424,67667;7,125665979;-4,661225743;-0,395458434;44,04755692;-5,714096379;-0,114829311;DOWN;DOWN;DOWN;0;
1514234700;12251,02;12410,92;12410,92;12266,98;14,78967069;25.12.2017 21:45;12309,64;-10,47166125;-17,59732723;-2,46956948;39,16925544;-4,878301476;-0,110750784;UP;UP;DOWN;0;
1514235600;12200;12399;12265,94;12394,34;12,74812234;25.12.2017 22:00;12331,11333;-15,3252127;-4,853551449;-0,463493932;51,30706387;12,13780843;0,30988101;DOWN;DOWN;DOWN;0;
1514236500;12240,01;12399;12398;12298,09;8,82218992;25.12.2017 22:15;12312,36667;-27,4235688;-12,0983561;-0,789441317;51,09339322;-0,213670649;-0,004164546;DOWN;DOWN;DOWN;0;
1514237400;12250;12349,98;12298,08;12289,9;5,42162076;25.12.2017 22:30;12296,62667;-40,34210268;-12,91853388;-0,471074133;38,64093883;-12,45245438;-0,243719463;DOWN;DOWN;DOWN;0;
