Unnamed: 0	unixtime	low	high	open	close	volume	intervallStart_datetime	EMA_12	EMA_26	MACD	Signal_Line	Histogram	Histogram_Delta_Percentage	Histogram_Extrems	MFI
111	1512845700	12568.44	12601.58	12599.99	12598.13	7.664973759999988	2017-12-09 19:55:00	12432.1061916	12343.0146293	89.0915623118	6.36241682732	82.7291454844	-0.116467406326		61.83080996288362
112	1512846000	12598.13	12680.0	12598.13	12680.0	8.524104509999987	2017-12-09 20:00:00	12470.2437006	12367.9765086	102.267191981	25.5433718581	76.723820123	-0.0725902017516		68.25396826223147
113	1512846300	12650.27	12680.0	12679.99	12670.0	7.307738309999982	2017-12-09 20:05:00	12500.975439	12390.3486191	110.626819876	42.5600614617	68.0667584143	-0.112834080664		66.61880555585512
114	1512846600	12584.03	12670.0	12670.0	12588.92	9.686026039999987	2017-12-09 20:10:00	12514.5053714	12405.0576103	109.447761163	55.9376014019	53.5101597608	-0.213857674328		60.2537260000877
115	1512846900	12373.29	12580.05	12580.05	12449.19	8.938403399999984	2017-12-09 20:15:00	12504.4568528	12408.3266762	96.1301765734	63.9761164362	32.1540601372	-0.399103641608		52.78271953680149
116	1512847200	12440.34	12549.97	12440.34	12490.96	8.347827439999985	2017-12-09 20:20:00	12502.3804139	12414.4476631	87.9327507377	68.7674432965	19.1653074412	-0.403953735254		50.87977954155574
117	1512847500	12410.0	12482.0	12481.99	12410.09	7.8145447199999865	2017-12-09 20:25:00	12488.1818887	12414.1248733	74.0570153879	69.8253577148	4.23165767315	-0.77920220241		41.43474173899382
118	1512847800	12290.0	12422.17	12410.1	12290.5	10.32039343999998	2017-12-09 20:30:00	12457.7692904	12404.9674753	52.8018151522	66.4206492022	-13.6188340501	-4.2183213062		43.903731257465246
119	1512848100	12220.0	12348.34	12290.75	12329.0	17.954025239999982	2017-12-09 20:35:00	12437.9586303	12399.3402549	38.6183754786	60.8601944575	-22.2418189789	-0.633166165119		34.10678425427098
120	1512848400	12329.0	12500.0	12329.05	12445.81	8.438230479999985	2017-12-09 20:40:00	12439.1665334	12402.7824582	36.384075159	55.9649705978	-19.5808954388	0.119636057765	Minimum	45.86527421114336
121	1512848700	12379.48	12446.0	12445.81	12390.01	5.040287409999994	2017-12-09 20:45:00	12431.6039898	12401.8363502	29.7676395793	50.7255043941	-20.9578648148	-0.0703220841143	Maximum	46.90163711824018
122	1512849000	12352.37	12390.01	12390.01	12390.0	7.465817109999988	2017-12-09 20:50:00	12425.203376	12400.9595835	24.2437924489	45.4291620051	-21.1853695562	-0.0108553396702		41.21268793540634
123	1512849300	12355.44	12399.83	12390.0	12378.33	5.484879589999993	2017-12-09 20:55:00	12417.9920874	12399.2833181	18.7087692847	40.085083461	-21.3763141763	-0.00901304174314		38.67393651156112
124	1512849600	12377.45	12425.0	12378.46	12419.16	6.078239189999992	2017-12-09 21:00:00	12418.1717662	12400.7556649	17.4161013436	35.5512870375	-18.1351856939	0.151622419829	Minimum	45.65122922601175
125	1512849900	12393.79	12420.0	12419.16	12420.0	4.163966409999993	2017-12-09 21:05:00	12418.453033	12402.1811712	16.2718617734	31.6954019847	-15.4235402113	0.149523998725		52.07145295720001
126	1512850200	12424.99	12537.48	12424.99	12530.0	9.493783519999996	2017-12-09 21:10:00	12435.6141048	12411.6492326	23.9648722323	30.1492960342	-6.18442380191	0.599026960272		50.57808801515227
127	1512850500	12536.43	12596.96	12536.43	12596.96	6.239225939999988	2017-12-09 21:15:00	12460.4365502	12425.3759561	35.0605941334	31.131555654	3.92903847934	1.63531197169		50.94625049349799
128	1512850800	12550.04	12598.98	12596.85	12558.98	9.708347139999994	2017-12-09 21:20:00	12475.597081	12435.2725519	40.324529023	32.9701503278	7.35437869518	0.87180113757		51.446666437452016
129	1512851100	12558.0	12570.0	12558.98	12570.0	4.527339849999995	2017-12-09 21:25:00	12490.120607	12445.2523629	44.8682440616	35.3497690746	9.51847498705	0.2942595672		51.45222901436661
130	1512851400	12569.99	12715.0	12570.0	12715.0	8.736851889999983	2017-12-09 21:30:00	12524.7174367	12465.2336694	59.4837673077	40.1765687212	19.3071985865	1.02839200742		49.533736528863486
131	1512851700	12728.88	12862.0	12735.53	12758.82	14.850635539999988	2017-12-09 21:35:00	12560.7332156	12486.980805	73.7524106794	46.8917371128	26.8606735665	0.391225839739		57.28649425793868
132	1512852000	12730.53	12800.0	12756.6	12740.01	7.608675809999991	2017-12-09 21:40:00	12588.3142594	12505.7237083	82.590551091	54.0314999085	28.5590511825	0.0632291521579		53.69798513891994
133	1512852300	12739.0	12774.99	12740.01	12741.05	6.182995689999995	2017-12-09 21:45:00	12611.8120656	12523.1552855	88.656780176	60.956555962	27.700224214	-0.0300719713347	Maximum	54.81817344008089
