;unixtime;low;high;open;close;volume;datetime;typical_price;macd;macd_delta_absolute;macd_delta_percentage;mfi;mfi_delta_absolute;mfi_delta_percentage;trend_1_intervall;trend_2_intervall;trend_3_intervall
172;1514234700;12251,02;12410,92;12410,92;12266,98;14,78967069;25.12.2017 20:45;12309,64;9,531100705;-6,037653425;-0,633468642;54,39346691;-8,990202514;-0,165280925;UP;UP;UP
173;1514233800;12410,91;12452,2;12452,01;12410,92;6,04351959;25.12.2017 20:30;12424,67667;16,71538312;7,184282418;0,429800643;62,2775585;7,884091591;0,126596029;UP;UP;UP
174;1514232900;12409;12474;12410,01;12452,01;7,23541363;25.12.2017 20:15;12445,00333;25,34860331;8,633220185;0,340579719;66,79819406;4,520635556;0,067676015;DOWN;UP;UP
175;1514232000;12410;12488,96;12488,96;12410,01;6,50935809;25.12.2017 20:00;12436,32333;28,5604479;3,211844594;0,112457781;61,22951631;-5,568677751;-0,090947603;UP;UP;UP
176;1514231100;12429,97;12494,23;12441,97;12488,96;7,15320606;25.12.2017 19:45;12471,05333;38,12348101;9,563033104;0,250843649;61,15956991;-0,069946393;-0,00114367;DOWN;UP;DOWN
177;1514230200;12433,88;12512;12498,99;12437,91;8,05869198;25.12.2017 19:30;12461,26333;41,44187108;3,318390077;0,080073365;55,21396652;-5,945603396;-0,107682961;UP;UP;UP
178;1514229300;12450;12499;12463,95;12498,99;8,59175299;25.12.2017 19:15;12482,66333;50,24662212;8,804751038;0,175230705;62,34385386;7,129887345;0,114363917;DOWN;UP;UP
179;1514228400;12410;12500;12446,5;12500;5,81144588;25.12.2017 19:00;12470;55,97881952;5,732197394;0,102399398;61,89790937;-0,445944489;-0,007204516;UP;UP;DOWN
180;1514227500;12435,08;12590,01;12555,7;12446,5;9,54787228;25.12.2017 18:45;12490,53;54,59378841;-1,385031101;-0,025369756;68,86167786;6,963768492;0,101126907;UP;DOWN;DOWN
181;1514226600;12421,87;12555,7;12421,88;12555,69;7,33949323;25.12.2017 18:30;12511,08667;62,93283747;8,339049051;0,13250712;69,64747741;0,78579955;0,011282527;DOWN;DOWN;DOWN
182;1514225700;12399,11;12470,05;12470,02;12421,88;13,16138387;25.12.2017 18:15;12430,34667;56,34752921;-6,585308254;-0,116869512;62,47564194;-7,171835477;-0,114794106;UP;DOWN;UP
183;1514224800;12389,87;12480;12392,09;12470,12;9,11636341;25.12.2017 18:00;12446,66333;52,86331854;-3,484210669;-0,065909798;64,4089384;1,933296465;0,030015965;DOWN;DOWN;UP
184;1514223900;12364;12486,85;12400,01;12392,22;22,67932708;25.12.2017 17:45;12414,35667;45,97621448;-6,887104062;-0,14979711;58,16891655;-6,240021852;-0,107274163;UP;UP;UP
185;1514223000;12400;12530,01;12530;12400;12,05603079;25.12.2017 17:30;12443,33667;37,18382395;-8,792390533;-0,236457405;62,36387465;4,194958097;0,067265835;UP;UP;DOWN
186;1514222100;12500;12580;12500;12530;19,8931027;25.12.2017 17:15;12536,66667;40,32647807;3,142654122;0,07793029;71,36080172;8,996927073;0,126076597;DOWN;DOWN;DOWN
187;1514221200;12450,36;12523,81;12450,36;12500;7,72339633;25.12.2017 17:00;12491,39;40,80722661;0,48074854;0,011780966;58,46628892;-12,8945128;-0,220546114;DOWN;DOWN;UP
188;1514220300;12330;12480,59;12400,01;12450,36;9,35690874;25.12.2017 16:45;12420,31667;34,13341785;-6,673808756;-0,195521257;53,61598908;-4,850299833;-0,090463683;UP;UP;UP
